Operação Comercial (Realizado),Leilão,Comercialização,CEG,Tipo de Geração,Origem de Combustível,UF,Usina,UG,Potência Liberada (MW)
2014-01-03 00:00:00,07/2010,ACR,EOL.CV.RS.030480-8.01,EOL,Eólica,RS,Atlântica V,1 a 3,9
2014-01-07 00:00:00,07/2010,ACR,EOL.CV.RS.030480-8.01,EOL,Eólica,RS,Atlântica V,5 a 7,9
2014-01-09 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,23,73.29
2014-01-24 00:00:00,02/2011,ACR,EOL.CV.RS.030762-9.01,EOL,Eólica,RS,Cerro dos Trindade,4,2
2014-01-28 00:00:00,Nenhum,Fora do ACR,EOL.CV.CE.030670-3.01,EOL,Eólica,CE,Fleixeiras I,1 a 5,11.54
2014-01-28 00:00:00,Nenhum,Fora do ACR,EOL.CV.CE.030670-3.01,EOL,Eólica,CE,Fleixeiras I,6 a 13,18.46
2014-02-01 00:00:00,03/2009,ACR,EOL.CV.RN.030339-9.01,EOL,Eólica,RN,Miassaba 3,1 a 41,68.47
2014-02-01 00:00:00,03/2009,ACR,EOL.CV.RN.030416-6.01,EOL,Eólica,RN,Rei dos Ventos 1,1 a 5,8.35
2014-02-01 00:00:00,03/2009,ACR,EOL.CV.RN.030416-6.01,EOL,Eólica,RN,Rei dos Ventos 1,7,1.67
2014-02-01 00:00:00,03/2009,ACR,EOL.CV.RN.030416-6.01,EOL,Eólica,RN,Rei dos Ventos 1,9 a 35,45.09
2014-02-01 00:00:00,03/2009,ACR,EOL.CV.RN.030417-4.01,EOL,Eólica,RN,Rei dos Ventos 3,1 a 36,60.12
2014-02-12 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,40,75
2014-02-13 00:00:00,07/2010,ACR,EOL.CV.RS.030480-8.01,EOL,Eólica,RS,Atlântica V,9 a 10,6
2014-02-18 00:00:00,03/2009,ACR,EOL.CV.RN.030340-2.01,EOL,Eólica,RN,Areia Branca,1 a13,27.3
2014-02-18 00:00:00,03/2009,ACR,EOL.CV.RN.030389-5.01,EOL,Eólica,RN,Mar e Terra,1 a 11,23.1
2014-02-18 00:00:00,03/2008,ACR,UTE.GN.MA.030196-5.01,UTE,Fóssil,MA,MC2 Nova Venécia 2,2,7.4
2014-02-18 00:00:00,Nenhum,Fora do ACR,UTE.GN.RJ.031153-7.01,UTE,Fóssil,RJ,RJR,2 e 3,8.02
2014-02-19 00:00:00,07/2010,ACR,EOL.CV.RS.030457-3.01,EOL,Eólica,RS,Atlântica I,1 a 4 e 8,15
2014-02-19 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,30,75
2014-02-22 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,21,69.59
2014-02-22 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,22,69.59
2014-02-22 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,24,73.29
2014-02-22 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,1,75
2014-02-25 00:00:00,07/2010,ACR,EOL.CV.RS.030457-3.01,EOL,Eólica,RS,Atlântica I,5 a 7 e 9 a 10,15
2014-02-28 00:00:00,07/2010,ACR,EOL.CV.RS.030480-8.01,EOL,Eólica,RS,Atlântica V,4,3
2014-03-01 00:00:00,07/2010,ACR,EOL.CV.RS.030462-0.01,EOL,Eólica,RS,Atlântica II,1 a10,30
2014-03-01 00:00:00,02/2011,ACR,EOL.CV.RS.030784-0.01,EOL,Eólica,RS,Cerro Chato IV,1 a 2,4
2014-03-01 00:00:00,02/2011,ACR,EOL.CV.RS.030784-0.01,EOL,Eólica,RS,Cerro Chato IV,3,2
2014-03-01 00:00:00,02/2011,ACR,EOL.CV.RS.030784-0.01,EOL,Eólica,RS,Cerro Chato IV,4 a 5,4
2014-03-01 00:00:00,Nenhum,Fora do ACR,PCH.PH.SP.028738-5.01,PCH,Hídrica,SP,Retiro,01,16
2014-03-01 00:00:00,02/2011,ACR,UTE.GN.RJ.030769-6.01,UTE,Fóssil,RJ,Baixada Fluminense,1,172
2014-03-01 00:00:00,02/2011,ACR,UTE.GN.RJ.030769-6.01,UTE,Fóssil,RJ,Baixada Fluminense,2,172
2014-03-08 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,02,75
2014-03-08 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,39,75
2014-03-21 00:00:00,03/2009,ACR,EOL.CV.CE.030294-5.01,EOL,Eólica,CE,Cajucoco,1 a 20,30
2014-03-22 00:00:00,07/2010,ACR,EOL.CV.RS.030461-1.01,EOL,Eólica,RS,Atlântica IV,1 a 2,6
2014-03-22 00:00:00,07/2010,ACR,EOL.CV.RS.030461-1.01,EOL,Eólica,RS,Atlântica IV,3 a 10,24
2014-03-22 00:00:00,Nenhum,Fora do ACR,PCH.PH.RO.031050-6.01,PCH,Hídrica,RO,Cesar Filho,01,3.5
2014-03-22 00:00:00,Nenhum,Fora do ACR,PCH.PH.RO.031050-6.01,PCH,Hídrica,RO,Cesar Filho,02,3.5
2014-03-25 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,16,73.29
2014-03-27 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,25,73.29
2014-03-27 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,26,73.29
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.CE.030329-1.01,EOL,Eólica,CE,Faísa IV,1 a 4,8.4
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.CE.030329-1.01,EOL,Eólica,CE,Faísa IV,5 a 12,16.8
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.CE.030332-1.01,EOL,Eólica,CE,Faísa III,1 a 12,25.2
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.CE.030336-4.01,EOL,Eólica,CE,Embuaca,1 a 13,27.3
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.CE.030352-6.01,EOL,Eólica,CE,Faísa I,1 a 14,29.4
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.CE.030356-9.01,EOL,Eólica,CE,Icaraí II,1 a 18,37.8
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.CE.030372-0.01,EOL,Eólica,CE,Icaraí I,1 a 13,27.3
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030292-9.01,EOL,Eólica,RN,Santa Clara I,1 a 15,30
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030293-7.01,EOL,Eólica,RN,Santa Clara III,1 a15,30
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030300-3.01,EOL,Eólica,RN,Morro dos Ventos VI,1 a 18,28.8
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030301-1.01,EOL,Eólica,RN,Morro dos Ventos I,1 a 18,28.8
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030302-0.01,EOL,Eólica,RN,Morro dos Ventos IX,1 a 18,30
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030304-6.01,EOL,Eólica,RN,Santa Clara VI,1 a 15,30
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030307-0.01,EOL,Eólica,RN,Santa Clara IV,9,2
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030308-9.01,EOL,Eólica,RN,Santa Clara II,8 a 15,16
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030310-0.01,EOL,Eólica,RN,Morro dos Ventos III,1 a 18,28.8
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030311-9.01,EOL,Eólica,RN,Morro dos Ventos IV,1 a 18,28.8
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030351-8.01,EOL,Eólica,RN,Eurus VI,1 e 4,4
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030351-8.01,EOL,Eólica,RN,Eurus VI,2 e 3,4
2014-03-29 00:00:00,03/2009,ACR,EOL.CV.RN.030378-0.01,EOL,Eólica,RN,Santa Clara V,14,2
2014-04-01 00:00:00,Nenhum,Fora do ACR,EOL.CV.CE.030656-8.01,EOL,Eólica,CE,Mundaú,1 a 13,30.004
2014-04-02 00:00:00,03/2009,ACR,EOL.CV.RN.030307-0.01,EOL,Eólica,RN,Santa Clara IV,1 a 8,16
2014-04-02 00:00:00,03/2009,ACR,EOL.CV.RN.030307-0.01,EOL,Eólica,RN,Santa Clara IV,10 a 15,12
2014-04-02 00:00:00,03/2009,ACR,EOL.CV.RN.030378-0.01,EOL,Eólica,RN,Santa Clara V,1 a 13,26
2014-04-02 00:00:00,03/2009,ACR,EOL.CV.RN.030378-0.01,EOL,Eólica,RN,Santa Clara V,15,2
2014-04-03 00:00:00,03/2009,ACR,EOL.CV.CE.030279-1.01,EOL,Eólica,CE,Buriti,1 a 20,30
2014-04-03 00:00:00,03/2009,ACR,EOL.CV.RN.030308-9.01,EOL,Eólica,RN,Santa Clara II,1 a 7,14
2014-04-04 00:00:00,Nenhum,Fora do ACR,UTE.FL.MA.030959-1.01,UTE,Biomassa,MA,Suzano Maranhão,1,127.42
2014-04-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030562-6.01,EOL,Eólica,RN,União dos Ventos 1,2 a 14,20.8
2014-04-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030563-4.01,EOL,Eólica,RN,União dos Ventos 2,1 a 14,22.4
2014-04-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030567-7.01,EOL,Eólica,RN,União dos Ventos 6,1 a 8,12.8
2014-04-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030568-5.01,EOL,Eólica,RN,União dos Ventos 7,1 a 9,14.4
2014-04-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030569-3.01,EOL,Eólica,RN,União dos Ventos 8,1 a 9,14.4
2014-04-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030570-7.01,EOL,Eólica,RN,União dos Ventos 9,1 a 7,11.2
2014-04-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030571-5.01,EOL,Eólica,RN,União dos Ventos 10,1 a 6 e 8 a 9,12.8
2014-04-08 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030564-2.01,EOL,Eólica,RN,União dos Ventos 3,1 a 14,22.4
2014-04-08 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030565-0.01,EOL,Eólica,RN,União dos Ventos 4,1 a 7,11.2
2014-04-08 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030566-9.01,EOL,Eólica,RN,União dos Ventos 5,1 a 15,24
2014-04-08 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,18,73.29
2014-04-08 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,19,73.29
2014-04-08 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,20,73.29
2014-04-11 00:00:00,06/2014,ACR,UTE.AI.SP.029636-8.01,UTE,Biomassa,SP,Iacanga,3,20
2014-04-12 00:00:00,Nenhum,Fora do ACR,UTE.GN.RJ.031153-7.01,UTE,Fóssil,RJ,RJR,1,4.01
2014-04-15 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030562-6.01,EOL,Eólica,RN,União dos Ventos 1,1,1.6
2014-04-15 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.030571-5.01,EOL,Eólica,RN,União dos Ventos 10,7,1.6
2014-04-24 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,31,75
2014-04-26 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,03,75
2014-05-01 00:00:00,Nenhum,Fora do ACR,PCH.PH.RS.030400-0.01,PCH,Hídrica,RS,Abranjo I,01 e 03,4.86
2014-05-03 00:00:00,Nenhum,Fora do ACR,UTE.FL.MA.030959-1.01,UTE,Biomassa,MA,Suzano Maranhão,2,127.42
2014-05-15 00:00:00,Nenhum,Fora do ACR,UTE.AI.SP.030095-0.01,UTE,Biomassa,SP,Guarani - Tanabi,1,4
2014-05-17 00:00:00,02/2011,ACR,EOL.CV.RS.030786-6.01,EOL,Eólica,RS,Cerro Chato V,2,2
2014-05-17 00:00:00,02/2011,ACR,EOL.CV.RS.030786-6.01,EOL,Eólica,RS,Cerro Chato V,5 e 6,4
2014-05-17 00:00:00,02/2005,ACR,UHE.PH.MG.029454-3.01,UHE,Hídrica,MG,Batalha (Antiga Paulista),01,26.25
2014-05-17 00:00:00,02/2005,ACR,UHE.PH.MG.029454-3.01,UHE,Hídrica,MG,Batalha (Antiga Paulista),02,26.25
2014-05-17 00:00:00,Nenhum,Fora do ACR,UTE.AI.SP.030095-0.01,UTE,Biomassa,SP,Guarani - Tanabi,2,34
2014-05-22 00:00:00,Nenhum,Fora do ACR,UTE.AI.SP.031189-8.01,UTE,Biomassa,SP,Furlan Avaré,1,10
2014-05-22 00:00:00,Nenhum,Fora do ACR,UTE.AI.SP.031189-8.01,UTE,Biomassa,SP,Furlan Avaré,2,20
2014-05-30 00:00:00,"",ACR,UTE.AI.SP.028063-1.01,UTE,Biomassa,SP,Casa de Força,1,2.4
