Leilão,CEG,Data de Início de Suprimento
02/2006,UTE.PE.BA.031303-3.02,2009-01-01 00:00:00
02/2006,UTE.PE.BA.031304-1.01,2009-01-01 00:00:00
03/2007,PCH.PH.SC.029652-0.01,2010-01-01 00:00:00
02/2010,UTE.FL.RR.030124-8.01,2010-04-09 00:00:00
01/2014,PCH.PH.AP.002586-0.01,2014-01-01 00:00:00
03/2010,UHE.PH.MT.030422-0.01,2015-01-01 00:00:00
05/2013,EOL.CV.BA.031402-1.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031403-0.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031404-8.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031405-6.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031406-4.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031407-2.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031408-0.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031418-8.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031424-2.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031432-3.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031447-1.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031458-7.01,2015-09-01 00:00:00
05/2013,EOL.CV.BA.031459-5.01,2015-09-01 00:00:00
07/2011,EOL.CV.CE.030907-9.01,2016-01-01 00:00:00
07/2011,EOL.CV.CE.030921-4.01,2016-01-01 00:00:00
07/2011,EOL.CV.CE.030927-3.01,2016-01-01 00:00:00
07/2011,EOL.CV.CE.030929-0.01,2016-01-01 00:00:00
07/2011,EOL.CV.CE.030930-3.01,2016-01-01 00:00:00
09/2013,EOL.CV.RS.031535-4.01,2016-01-01 00:00:00
09/2013,EOL.CV.RS.031536-2.01,2016-01-01 00:00:00
09/2013,EOL.CV.RS.031562-1.01,2016-01-01 00:00:00
98/2010,UTN.UR.RJ.030150-7.01,2016-01-01 00:00:00
02/2016,UTE.PE.AM.035809-6.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035810-0.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035811-8.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035812-6.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035813-4.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035814-2.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035815-0.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035816-9.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035818-5.01,2017-01-01 00:00:00
02/2016,UTE.PE.AM.035819-3.01,2017-01-01 00:00:00
